ts_code,symbol,name,area,industry,list_date
300016.SZ,300016.0,北陆药业,北京,化学制药,20091030.0
300002.SZ,300002.0,神州泰岳,北京,互联网,20091030.0
300010.SZ,300010.0,豆神教育,北京,软件服务,20091030.0
300001.SZ,300001.0,特锐德,山东,电气设备,20091030.0
300004.SZ,300004.0,南风股份,广东,电气设备,20091030.0
300008.SZ,300008.0,天海防务,上海,船舶,20091030.0
300003.SZ,300003.0,乐普医疗,北京,医疗保健,20091030.0
300006.SZ,300006.0,莱美药业,重庆,化学制药,20091030.0
300007.SZ,300007.0,汉威科技,河南,电器仪表,20091030.0
300014.SZ,300014.0,亿纬锂能,广东,电气设备,20091030.0
300009.SZ,300009.0,安科生物,安徽,生物制药,20091030.0
300011.SZ,300011.0,鼎汉技术,北京,运输设备,20091030.0
300005.SZ,300005.0,探路者,北京,服饰,20091030.0
300013.SZ,300013.0,新宁物流,河南,仓储物流,20091030.0
300012.SZ,300012.0,华测检测,深圳,电器仪表,20091030.0
300018.SZ,300018.0,中元股份,湖北,电气设备,20091030.0
300017.SZ,300017.0,网宿科技,上海,软件服务,20091030.0
300015.SZ,300015.0,爱尔眼科,湖南,医疗保健,20091030.0
300019.SZ,300019.0,硅宝科技,四川,化工原料,20091030.0
300022.SZ,300022.0,吉峰科技,四川,农用机械,20091030.0
300024.SZ,300024.0,机器人,辽宁,专用机械,20091030.0
300021.SZ,300021.0,大禹节水,甘肃,建筑工程,20091030.0
300027.SZ,300027.0,华谊兄弟,浙江,影视音像,20091030.0
300026.SZ,300026.0,红日药业,天津,中成药,20091030.0
300025.SZ,300025.0,华星创业,浙江,通信设备,20091030.0
300033.SZ,300033.0,同花顺,浙江,软件服务,20091225.0
300031.SZ,300031.0,宝通科技,江苏,互联网,20091225.0
300034.SZ,300034.0,钢研高纳,北京,航空,20091225.0
300032.SZ,300032.0,金龙机电,浙江,元器件,20091225.0
300035.SZ,300035.0,中科电气,湖南,电气设备,20091225.0
300036.SZ,300036.0,超图软件,北京,软件服务,20091225.0
300030.SZ,300030.0,阳普医疗,广东,医疗保健,20091225.0
300041.SZ,300041.0,回天新材,湖北,化工原料,20100108.0
300037.SZ,300037.0,新宙邦,深圳,化工原料,20100108.0
300040.SZ,300040.0,九洲集团,黑龙江,新型电力,20100108.0
300039.SZ,300039.0,上海凯宝,上海,中成药,20100108.0
300042.SZ,300042.0,朗科科技,深圳,IT设备,20100108.0
300045.SZ,300045.0,华力创通,北京,IT设备,20100120.0
300049.SZ,300049.0,福瑞医科,内蒙,医疗保健,20100120.0
300047.SZ,300047.0,天源迪科,深圳,软件服务,20100120.0
300048.SZ,300048.0,合康新能,北京,电气设备,20100120.0
300050.SZ,300050.0,世纪鼎利,广东,通信设备,20100120.0
300046.SZ,300046.0,台基股份,湖北,半导体,20100120.0
300043.SZ,300043.0,星辉娱乐,广东,互联网,20100120.0
300051.SZ,300051.0,琏升科技,江苏,综合类,20100211.0
300052.SZ,300052.0,中青宝,深圳,互联网,20100211.0
300054.SZ,300054.0,鼎龙股份,湖北,化工原料,20100211.0
300053.SZ,300053.0,航宇微,广东,半导体,20100211.0
300057.SZ,300057.0,万顺新材,广东,铝,20100226.0
300055.SZ,300055.0,万邦达,北京,石油加工,20100226.0
300056.SZ,300056.0,中创环保,福建,环境保护,20100226.0
300058.SZ,300058.0,蓝色光标,北京,广告包装,20100226.0
300059.SZ,300059.0,东方财富,上海,证券,20100319.0
300061.SZ,300061.0,旗天科技,上海,互联网,20100319.0
300062.SZ,300062.0,中能电气,福建,电气设备,20100319.0
300066.SZ,300066.0,三川智慧,江西,电器仪表,20100326.0
300063.SZ,300063.0,天龙集团,广东,互联网,20100326.0
300065.SZ,300065.0,海兰信,北京,船舶,20100326.0
300071.SZ,300071.0,福石控股,北京,广告包装,20100421.0
300068.SZ,300068.0,南都电源,浙江,电气设备,20100421.0
300070.SZ,300070.0,碧水源,北京,环境保护,20100421.0
300069.SZ,300069.0,金利华电,山西,电气设备,20100421.0
300067.SZ,300067.0,安诺其,上海,染料涂料,20100421.0
300073.SZ,300073.0,当升科技,北京,电气设备,20100427.0
300072.SZ,300072.0,海新能科,北京,化工原料,20100427.0
300075.SZ,300075.0,数字政通,北京,软件服务,20100427.0
300074.SZ,300074.0,华平股份,上海,软件服务,20100427.0
300076.SZ,300076.0,GQY视讯,浙江,IT设备,20100430.0
300078.SZ,300078.0,思创智联,浙江,软件服务,20100430.0
300079.SZ,300079.0,数码视讯,北京,IT设备,20100430.0
300077.SZ,300077.0,国民技术,深圳,半导体,20100430.0
300083.SZ,300083.0,创世纪,广东,机床制造,20100520.0
300082.SZ,300082.0,奥克股份,辽宁,化工原料,20100520.0
300084.SZ,300084.0,海默科技,甘肃,专用机械,20100520.0
300087.SZ,300087.0,荃银高科,安徽,种植业,20100526.0
300086.SZ,300086.0,康芝药业,海南,化学制药,20100526.0
300088.SZ,300088.0,长信科技,安徽,元器件,20100526.0
300085.SZ,300085.0,银之杰,深圳,软件服务,20100526.0
300080.SZ,300080.0,易成新能,河南,电气设备,20100625.0
300094.SZ,300094.0,国联水产,广东,渔业,20100708.0
300092.SZ,300092.0,科新机电,四川,专用机械,20100708.0
300098.SZ,300098.0,高新兴,广东,软件服务,20100728.0
300097.SZ,300097.0,智云股份,辽宁,专用机械,20100728.0
300095.SZ,300095.0,华伍股份,江西,专用机械,20100728.0
300101.SZ,300101.0,振芯科技,四川,通信设备,20100806.0
300099.SZ,300099.0,尤洛卡,山东,电器仪表,20100806.0
300100.SZ,300100.0,双林股份,浙江,汽车配件,20100806.0
