ts_code,symbol,name,area,industry,list_date
600601.SH,600601.0,方正科技,上海,元器件,19901219.0
600602.SH,600602.0,云赛智联,上海,软件服务,19901219.0
600651.SH,600651.0,飞乐音响,上海,电器仪表,19901219.0
600653.SH,600653.0,申华控股,辽宁,汽车服务,19901219.0
600654.SH,600654.0,中安科,湖北,仓储物流,19901219.0
000002.SZ,0002.0,万科Ａ,深圳,全国地产,19910129.0
000001.SZ,0001.0,平安银行,深圳,银行,19910403.0
000009.SZ,0009.0,中国宝安,深圳,电气设备,19910625.0
600603.SH,600603.0,广汇物流,四川,区域地产,19920113.0
000012.SZ,0012.0,南玻Ａ,深圳,玻璃,19920228.0
000016.SZ,0016.0,深康佳Ａ,深圳,家用电器,19920327.0
600604.SH,600604.0,市北高新,上海,园区开发,19920327.0
600605.SH,600605.0,汇通能源,上海,房产服务,19920327.0
600606.SH,600606.0,绿地控股,上海,全国地产,19920327.0
000011.SZ,0011.0,深物业A,深圳,房产服务,19920330.0
000017.SZ,0017.0,深中华A,深圳,服饰,19920331.0
000007.SZ,0007.0,全新好,深圳,其他商业,19920413.0
000006.SZ,0006.0,深振业Ａ,深圳,区域地产,19920427.0
000020.SZ,0020.0,深华发Ａ,深圳,元器件,19920428.0
000008.SZ,0008.0,神州高铁,北京,运输设备,19920507.0
000014.SZ,0014.0,沙河股份,深圳,全国地产,19920602.0
600609.SH,600609.0,金杯汽车,辽宁,汽车配件,19920724.0
600610.SH,600610.0,中毅达,贵州,化工原料,19920805.0
600611.SH,600611.0,大众交通,上海,公共交通,19920807.0
600612.SH,600612.0,老凤祥,上海,服饰,19920814.0
600613.SH,600613.0,神奇制药,上海,中成药,19920820.0
600655.SH,600655.0,豫园股份,上海,百货,19920902.0
600615.SH,600615.0,鑫源智造,重庆,铝,19920910.0
600616.SH,600616.0,金枫酒业,上海,红黄酒,19920929.0
000019.SZ,0019.0,深粮控股,深圳,农业综合,19921012.0
600617.SH,600617.0,国新能源,山西,供气供热,19921013.0
600618.SH,600618.0,氯碱化工,上海,化工原料,19921113.0
600619.SH,600619.0,海立股份,上海,家用电器,19921116.0
600620.SH,600620.0,天宸股份,上海,综合类,19921117.0
000501.SZ,0501.0,武商集团,湖北,百货,19921120.0
000503.SZ,0503.0,国新健康,山东,软件服务,19921130.0
600621.SH,600621.0,华鑫股份,上海,证券,19921202.0
600622.SH,600622.0,光大嘉宝,上海,区域地产,19921203.0
600623.SH,600623.0,华谊集团,上海,化工原料,19921204.0
000505.SZ,0505.0,京粮控股,海南,食品,19921221.0
600626.SH,600626.0,申达股份,上海,汽车配件,19930107.0
600628.SH,600628.0,新世界,上海,百货,19930119.0
600629.SH,600629.0,华建集团,上海,建筑工程,19930209.0
600630.SH,600630.0,龙头股份,上海,服饰,19930209.0
